psraid,sample,int_date,lang,form,llitext1,qs1,live1,reg,oftvote,eminuse,intmob,home3nw,bbhome1f1,bbhome1f2,bbhome2,device1a,smart1,intfreq,device1b,device1c,device1d,act112,act124,act125,act135,act136,act127,act128,act129,sns2a,sns2b,sns2c,sns2d,sns2e,q1a,q1b,q1c,q1d,q1e,q1f,q1g,q1h,q2a,q2b,q2c,q2d,q2e,q2f,q3,q4,books1,books2a,books2b,books2c,q7a,q7b,q7c,q7d,q8a,q8b,q8c,q8d,libusea,libuseb,libusec,lib_frq,libst_frq,libapp_frq,libmob,libvisit,ebk_awr,ebk_brw,q9a,q9b,q9c,q9d,q9e,q9f,q9g,q10,q11a,q11b,q11c,q11d,q12,q13a,q13b,q13c,q13d,q13e,q13f,q14,q15a,q15b,q15c,q15d,q15e,q15f,q16a,q16b,q17a,q17b,q17c,q17d,q18a,q18b,q18c,q18d,sex,age,marital,par,kidage1,educ2,emplnw,disa,party,partyln,ideo,hisp,race3m1,race3m2,race3m3,race3m4,birth_hisp,inc,hh1,hh3,zipcode,usr,cregion,state,weight,standwt
200207,2,30716,1,1, ,2,3,3, ,1,1,1,2, , , ,1,2,2,2,1,2,2,2,1,1, , , , , , ,6,2,2,2,2,2,2,1,2,1,1,1,1,1,1,4,2,1,5,1,2,1, , ,1,2,1,2,1,2,2,1,3, ,4, ,2,3,2, , , , , , , , ,1,1,2, , ,2,2,2,2, , , ,1,1,2,2,1,2,1,2,1,1,3, , ,1,1, , ,1,24,6,2, ,6,1,2,3,1,3,1,7, , , ,1,7,1, ,62701,S,2,17,1.5,.494676282110701
200210,2,30716,1,1, ,2,2,1,4,1,1,1,2, , , ,1,2,2,1,1,1,1,1,1,2, , , ,3,6,5, ,3,1,2,1,1,1,2,1,2,2,2,3,3,2,2,1,2,5,1,2,1,5, ,4,5,1,4,5,3,1,1,3,4,4, ,2,3,1,1,1,1,2,2,2, , ,2, , , , ,2,1,1,1, , , ,1,1,1,1,1,1,1,1,1,2,2, , ,3,4, , ,2,46,1,1,0,6,5,2,1, ,2,2,1, , , , ,6,5,2,79912,U,3,48,1.75,.577122329129152
200216,2,30716,1,2, ,2,3,3, ,2,2, , , , , ,8, ,2,2,2, , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,12,1,2,2, , , , ,2,2,1,1,1,1,3,4,4, ,2,3,2, ,2,1,1, , ,2,1,1, , ,2,1,2, , , ,2,2,1,1,2,2,2,2,2,2,1,1, , ,1,1, , ,1,1,1,42,3,2, ,3,4,2,3,1,1,1,7, , , ,1,3,1, ,95380,R,4,6,2.625,.865683493693727
200222,2,30716,1,2, ,2,2,1,1,1,1, , ,8, , ,1,2,2,1,1, , , , , ,1,2,2, , , , , ,2,2,2,2,2,1,2,1,4,2,4,4,1,4,2,1,3,1,2,1,1, ,5,2,5,1,1,2,1,3,3,3, , , ,3,8, ,2,2,1, , ,2,2,2, , , , ,1, , , , , , ,1,8,8,8,8,8,1,3,8, , ,3,1, , ,4,4,2,50,1,1,0,6,3,2,2, ,3,2,2, , , , ,9,3,2,94545,U,4,6,2.40625,.793543202552583
200226,2,30716,1,1, ,2,2,1,2,1,1,1,2, , , ,1,1,2,1,1,1,2,2,2,1, , , ,3, , ,3, ,1,1,1,2,1,1,2,2,1,1,4,2,1,4,1,2,5,1,2,2, , , , ,1,1,1,2,3,3,3, , , , ,1,1,1, , , , , , , , , , , , ,2, , , , , , ,1,3,3,2,2,1,1,3,1,1,2, , ,4,3, , ,1,63,1,1,0,8,1,2,1, ,2,2,1, , , , ,9,4,3,94541,S,4,6,1.125,.371007211583026
200229,2,30716,1,2, ,2,2,3, ,1,1, , ,8, , ,1,2,2,1,1, , , , , ,1,1,2, , , , , ,2,2,2,2,2,1,1,1,2,2,2,4,1,3,1,2,2,1,2,1,3, ,3,5,1,4,3,2,1,1,3,1,1, ,1,3,1,2,2,2,1, , ,2,2,1, , ,1,2,1, , , ,2,1,1,1,3,3,3,2,2,4,2,2, , ,3,1, , ,2,3,2,22,6,2, ,4,2,2,1, ,2,2,3, , , , ,9,6,6,91702,S,4,6,6.9375,2.28787780476199
200231,2,30716,1,1, ,2,1,1,1,1,1,1,2, , , ,1,2,2,1,1,2,2,2,2,2, , , , , , , , ,1,1,2,1,2,2,2,2,3,1,3,2,2,4,2,2,50,1,2,2, , , , ,1,1,1,2,2,3,3, , , , ,3,8, , , , , , , , ,2, , , , ,2, , , , , , ,8,4,4,2,4,3,3,3,2,8,8, , ,4,2, , ,1,67,1,2, ,6,1,2,1, ,3,2,1, , , , ,9,2,2,97402,U,4,41,1,.329784188073801
200236,2,30716,1,1, ,2,3,3, ,1,1,1,2, , , ,1,2,1,2,1,2,2,2,2,1, , , , , , ,3, ,2,1,1,1,1,1,1,2,3,2,2,3,1,3,1,1,6,1,1,1, ,4,5,3,1,1,5,2,2,2,2, , , , ,3,2, , , , , , , , ,2, , , , ,2, , , , , , ,1,2,1,1,2,1,1,2,2,2,3, , ,1,2, , ,1,25,6,2, ,6,1,2,3,2,3,2,1, , , , ,6,1, ,92111,U,4,6,2.78125,.917212273080259
200238,2,30716,1,2, ,2,2,3, ,1,1, , ,2, , ,1,2,2,1,1, , , , , ,1,2,2, , , , , ,2,2,2,1,3,1,2,1,3,3,1,2,1,4,2,1,97,1,1,1,3, ,5,4,2,1,2,1,2,2,3, , , , ,3,2, , , , , , , , ,2, , , , ,2, , , , , , ,1,2,2,2,2,2,1,2,1, , ,3,2, , ,3,2,1,24,6,2, ,4,4,2,3,2,3,2,1, , , , ,3,1, ,85718,S,4,4,3.5625,1.17485617001292
200242,2,30916,1,2, ,2,4,1,1,1,1, , ,2, , ,1,3,1,1,1, , , , , ,2,2,2, , , , , ,2,2,2,2,2,2,2,9,4,9,4,4,1,9,2,1,50,2,9,1,5,9,3,5,5,1,2,2,3,3,3, , , , ,3,8, , , , , , , , , , , , , ,2, , , , , , ,1,8,8,8,9,8,8,3,3, , ,4,4, , ,8,9,2,79,5,2, ,5,3,2,1, ,1,2,1, , , , ,99,1, ,90631,S,4,6,1.25,.412230235092251
